sndr_id,sndr_acct_type,sndr_acct_cre_dt,sndr_tof,actv_bank_accts_on_file_cnt,actv_conf_bank_accts_cnt,has_bc_y_n,actv_cc_on_file_cnt,actv_conf_cc_on_file_cnt,cust_age_grp_code,cust_occup_code,cust_house_owned_status_code,cust_marital_status_code,cust_gendr_code,cust_est_income_range_code,cust_est_income_range_desc,cust_marital_status_desc,cust_house_owned_status_desc,cust_engagmnt_seg_key,cust_engagmnt_sub_lvl_3,cust_txn_activity_sub_seg,starts,dones
1889248820518863764 ,Guest-Upgradeable,1/17/2015,3-12M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
1430799911208077915 ,Guest-Upgradeable,1/6/2015,3-12M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
2152036490992707685 ,Guest-Upgradeable,9/4/2014,3-12M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
2179917496201777145 ,Guest-Upgradeable,12/26/2014,3-12M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
1465886195492100219 ,Consumer,3/24/2015,3-12M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,1,Never Active-OLD,Never Active,2,2
1875557162351353940 ,Consumer,2/21/2014,1Y-3Y,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,2,2
1644411681344043950 ,Guest-Upgradeable,8/28/2013,1Y-3Y,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,4,3
2297645403070137370 ,Consumer,2/22/2013,1Y-3Y,1,1,N,2,0,-99,*,R,M,M,3,"$20,000 - $29,999",MARRIED,RENTER,8,Lite Engaged 1,Lite Engaged 1,10,6
1918329263777353667 ,Consumer,8/2/2013,1Y-3Y,0,0,N,1,0,38,*,O,A,M,5,"$40,000 - $49,000",INFERRED MARRIED,HOMEOWNER,7,Habituated,Habituated,4,4
1451457804248755378 ,Consumer,1/18/2014,1Y-3Y,0,0,N,1,0,62,*,O,M,M,7,"$75,000 - $99,999",MARRIED,HOMEOWNER,5,Single Transactor,Single Transactor,1,1
1827537863143552989 ,Consumer,9/25/2014,3-12M,0,0,N,1,1,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,8,Lite Engaged 1,Lite Engaged 1,7,4
1887705533962456801 ,Guest-Upgradeable,11/11/2014,3-12M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
1506356036694262718 ,Consumer,5/8/2000,3Y+,1,1,N,1,0,62,*,O,S,M,6,"$50,000 - $74,999",SINGLE,HOMEOWNER,7,Habituated,Habituated,7,7
1905396102926676900 ,Consumer,9/25/2000,3Y+,1,1,N,4,0,38,*,R,S,F,9,"Greater than $124,999",SINGLE,RENTER,8,Lite Engaged 1,Lite Engaged 1,15,14
1673290370381318502 ,Guest-Upgradeable,4/30/2013,1Y-3Y,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
1896461010852560652 ,Guest-Upgradeable,2/8/2015,3-12M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
2237834358412874893 ,Guest-Upgradeable,6/26/2012,3Y+,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
1761409204998789630 ,Consumer,10/5/2007,3Y+,0,0,N,0,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,9,Lite Engaged 2,Lite Engaged 2,1,1
1560220682994288813 ,Consumer,4/26/2015,3-12M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,2,Never Active-NEW,Never Active,1,1
1871848992143162936 ,Consumer,11/10/2014,3-12M,1,1,N,0,0,-99,*,O,S,M,7,"$75,000 - $99,999",SINGLE,HOMEOWNER,1,Never Active-OLD,Never Active,3,0
2278290336942311640 ,Consumer,3/16/2010,3Y+,0,0,N,3,0,40,*,O,S,M,3,"$20,000 - $29,999",SINGLE,HOMEOWNER,7,Habituated,Habituated,6,6
1931475170933110778 ,Consumer,11/12/2006,3Y+,1,1,N,3,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,5,Single Transactor,Single Transactor,1,1
1997603608897860673 ,Guest-Upgradeable,8/20/2014,1Y-3Y,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
1437632104864117293 ,Consumer,2/23/2013,1Y-3Y,0,0,N,2,0,-99,*,R,M,F,7,"$75,000 - $99,999",MARRIED,RENTER,9,Lite Engaged 2,Lite Engaged 2,12,10
1751032477610443914 ,Consumer,10/16/2007,3Y+,1,1,N,1,0,26,*,O,S,M,6,"$50,000 - $74,999",SINGLE,HOMEOWNER,6,Casual,Casual,1,1
1387364923217786696 ,Guest-Upgradeable,4/6/2011,3Y+,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
2114027407768463331 ,Guest-Upgradeable,1/10/2015,3-12M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,2,2
2015003297739325858 ,Guest-Upgradeable,3/9/2015,3-12M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
1383212068285841883 ,Consumer,4/17/2012,3Y+,1,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,6,Casual,Casual,1,1
1850409204134305417 ,Guest-Upgradeable,4/10/2015,3-12M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
1349260293145243280 ,Consumer,3/20/2009,3Y+,0,0,N,1,1,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,7,Habituated,Habituated,3,2
1748561049903365575 ,Consumer,11/24/2003,3Y+,0,0,N,1,0,40,*,O,A,F,5,"$40,000 - $49,000",INFERRED MARRIED,HOMEOWNER,7,Habituated,Habituated,2,1
1708945715784225679 ,Consumer,2/15/2015,3-12M,0,0,N,0,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,5,Single Transactor,Single Transactor,1,0
1685360753867475277 ,Guest-Upgradeable,2/4/2014,1Y-3Y,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
1571371719169066881 ,Guest-Upgradeable,10/8/2013,1Y-3Y,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
1274663706102604993 ,Guest-Upgradeable,7/14/2014,1Y-3Y,0,0,N,0,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,0
1509497758061809401 ,Consumer,4/29/2006,3Y+,1,1,N,2,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,11,Super Engaged 2,Super Engaged 2,109,102
2117650990943666809 ,Consumer,5/15/2005,3Y+,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,9,Lite Engaged 2,Lite Engaged 2,9,6
1857128337764395839 ,Consumer,1/30/2002,3Y+,1,1,N,4,0,54,*,O,M,M,1,"Less than $15,000",MARRIED,HOMEOWNER,7,Habituated,Habituated,7,6
2212174298841080643 ,Consumer,3/28/2007,3Y+,1,1,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,9,Lite Engaged 2,Lite Engaged 2,17,17
1818918420801870959 ,Consumer,11/2/2014,3-12M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,1,Never Active-OLD,Never Active,1,1
1501427971102804275 ,Guest-Upgradeable,9/3/2014,3-12M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
1574916702992548396 ,Guest-Upgradeable,7/31/2014,1Y-3Y,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
2109871904484265712 ,Guest-NonUpgradeable,6/17/2015,0-3M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,0
1506416513249486010 ,Consumer,12/25/2008,3Y+,1,1,N,2,0,30,*,O,M,F,6,"$50,000 - $74,999",MARRIED,HOMEOWNER,8,Lite Engaged 1,Lite Engaged 1,17,17
2182871895967068348 ,Guest-Upgradeable,3/15/2015,3-12M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
1552900554154282352 ,Guest-Upgradeable,8/7/2014,1Y-3Y,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,1
1712722442883078888 ,Guest-Upgradeable,9/10/2014,3-12M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,3,2
1410389033903314178 ,Consumer,4/2/2015,3-12M,0,0,N,0,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,1,Never Active-OLD,Never Active,1,0
1975077688697946947 ,Guest-Upgradeable,3/8/2015,3-12M,0,0,N,1,0,-99,*,#,#,#,#,UNKNOWN,UNKNOWN,UNKNOWN,13,GUEST,Never Active,1,0
