cust,date,tpv,cnt
1454812893107024758,09-04-2014,150.0,1
1910113691944466945,01-09-2015,5.1,1
1711330093709358338,06-07-2013,15.5,1
1814313714040071273,21-09-2013,0.0,0
2276257112298726557,23-12-2013,64.9,1
1207895677477403879,18-07-2015,103.7,1
2211874085591252557,31-03-2015,59.4,1
1271556546731044092,05-01-2015,20.0,1
1228783414272844646,19-05-2014,38.8,2
1460433015439669550,21-09-2014,39.9,2
2294258814099447167,01-01-2015,100.0,1
1800553853556127850,03-04-2014,27.5,2
1358822980441568047,28-08-2013,20.0,1
1585834410480858207,21-05-2014,202.5,1
1840341231012311611,06-07-2013,63.9,2
1932727460388319004,05-07-2014,700.0,1
2013506804333776944,13-07-2013,34.5,1
1797867156022858700,07-11-2014,310.0,1
1477928060443391830,27-07-2013,0.0,0
2058474060696966301,23-10-2013,45.0,1
1560463656676998784,05-09-2013,15.9,1
2088768600809508460,08-07-2015,16.0,1
1740359854655318837,11-08-2014,12.3,1
1781057738532585036,13-01-2014,8.8,1
1191399963254319522,18-11-2014,26.6,1
1286864730672150239,06-12-2013,18.0,1
2079625551452570257,10-10-2014,24.0,1
2269478793551784759,28-01-2015,100.0,1
1796646011248393486,13-03-2015,16.8,1
1704021052923023135,15-03-2015,19.7,1
1917348277243270068,17-05-2015,5.3,1
1548007045003663911,28-08-2013,30.5,1
1244281662992516013,28-08-2013,-15.8,-1
1730759388727549149,16-08-2013,-74.4,0
1191209058870327682,24-03-2015,22.0,1
1410072900167484967,22-04-2015,3.5,1
1225368446560904208,28-07-2014,15.0,1
1584769554326408568,27-12-2014,0.0,0
1155690369170233289,09-07-2014,36.2,1
1925033450516737841,11-08-2013,12.1,1
1917348277243270068,19-04-2015,39.0,1
1358027268514897463,21-07-2013,8.2,1
1991546182235578140,16-07-2013,9.1,2
1221730058584562007,05-08-2013,0.0,0
1529114919662122971,13-12-2013,58.6,2
1603357579354091019,01-07-2013,48.0,1
1411206630425008657,18-09-2013,13.3,1
1893882987465561007,19-03-2015,10.0,1
2050795076103387330,07-01-2015,1.5,1
2030079123137074375,29-09-2013,4.3,1
1499611942446867609,28-07-2014,0.0,0
1571662977552438618,06-12-2014,29.0,1
1325709543867728348,03-05-2015,18.5,2
1295703390947869542,29-12-2013,8.5,1
1714221316063194978,13-06-2014,5.0,1
1219907739220633242,27-12-2013,12.5,1
1653714732674105404,08-07-2013,50.0,1
1452798354870662624,30-03-2015,8.0,1
1769501276932862873,09-10-2014,8.0,1
1738510290283328273,11-09-2014,0.0,0
1979219604365670013,23-11-2014,12.9,2
1470061745256829542,06-06-2015,25.0,1
1867002670813705092,04-10-2013,0.0,0
1781057738532585036,25-10-2013,3.0,1
2080925706969447664,14-04-2015,7.7,1
2067645730959676494,26-07-2013,92.0,1
1454812893107024758,28-06-2015,28.0,1
1753842186993855371,08-12-2013,31.2,1
1511406471638069333,10-05-2015,4.5,1
1539125327771982097,03-02-2014,25.0,1
1470061745256829542,27-08-2015,29.0,1
1621494422178109225,05-04-2014,30.0,1
1414967998089084725,19-07-2015,47.7,1
1473180928274234483,27-12-2013,630.0,1
2015441343115605631,06-05-2015,56.5,1
1945606605183540568,21-12-2013,30.0,1
1887346503415728648,04-07-2013,85.0,1
1449182776810480129,25-02-2015,88.1,1
