"","x"
"228995",0.775264850747974
"171558",0.998867606244391
"182063",0.796330745414532
"228013",0.998371359348654
"127631",0.967194990443759
"136064",0.157768208817345
"153543",0.0295205626287892
"171935",0.990616203829969
"180124",0.996077991332879
"186339",1.8372852848168e-06
"153321",0.143668474845961
"183663",0.954067730901844
"187430",0.998410409955292
"138772",0.999061462090765
"181974",0.99815885884169
"162985",0.910785525324575
"164887",0.999082734038264
"126795",0.271017629497229
"129773",0.995638000865461
"127202",0.746592247945479
"210530",0.973356931998936
"156026",3.05971637750141e-16
"171336",0.165582297035158
"130144",0.994737155761205
"183011",0.822088119688995
"137684",0.997531939768256
"138205",0.0947281312707437
"216438",0.980292954838508
"157293",0.993242068312248
"121713",0.0283786637694084
"142702",0.901657606028816
"168494",0.999718283211402
"117627",0.999717936085923
"169752",1.58228942808389e-07
"133748",2.60002105886867e-06
"130704",0.98344502198612
"179606",0.645737148396094
"148420",0.997524966470494
"197013",0.999686435820375
"129859",0.979801638244527
"141531",0.991440271450418
"228759",0.997939990962707
"128362",0.981997862363805
"222781",0.990837474593824
"192387",0.00666549754884648
"203602",0.0118873845280402
"206040",0.0163318491902082
"218624",0.196078273662392
"168997",0.990549472291028
"131333",0.973719834142362
"122957",0.715571879210814
"219340",0.772157396610661
"170180",0.02834737202872
"158088",0.00494317627771921
"185201",0.992287123029352
"223499",0.996747525352627
"176415",0.0307944818921817
"131561",0.958989960810697
"184880",0.030289756230227
"124389",0.990463007526526
"223270",0.158447407976144
"218607",0.908639350026683
"145362",0.860320673292134
"204049",0.797065873020209
"152784",0.999731165066324
"125430",0.998278290063489
"223938",0.999063693284184
"146530",0.95482959658437
"221576",0.978816936265546
"213617",0.707073327949696
"136059",0.16143237540023
"179083",0.999041792181392
"170750",0.158447407976144
"177953",0.000688263384603869
"210643",0.997606114912044
"128503",0.00895039475855364
"205624",0.165582297035158
"116855",0.643438677660001
"203155",0.964096641032182
"129001",0.997225137327022
"156414",0.999125600127108
"176356",0.999721967391028
"222304",0.80543878072565
"214062",0.995521928173459
"134976",0.994327504624327
"176688",0.125060299636828
"195104",0.999711485434304
"175407",0.998582741504915
"211576",0.985310993800346
"116390",0.994138383872307
"187764",0.112854808496584
"123894",0.997413796956363
"194765",0.998007704850392
"116988",0.944501927959719
"175832",0.432767887607011
"220561",0.837540615174968
"138925",6.22502240328807e-17
"151297",0.9651548623725
"165600",0.999166050224693
"183292",0.999151924644883
"169931",0.492202374208169
"145063",0.87283386078934
"218156",0.0331785998321507
"216629",0.995673364320256
"220661",0.00321266395518474
"174477",0.00775944114973435
"130183",0.848214081727079
"128223",0.998497213920462
"229991",0.150838654770129
"140649",0.999731569875795
"171836",0.999726697463856
"229463",2.73621454021289e-06
"198721",0.978965078546095
"160893",0.988591841624728
"131815",0.148932637679478
"148335",1.35360805247283e-07
"134246",0.992249532865137
"156454",0.782055444553421
"217669",0.844471326343464
"130272",0.974955579059759
"190473",0.16157904225374
"126118",0.998480029425656
"161918",0.984937344458941
"216295",0.0366025559412658
"228131",0.962183204401108
"221254",0.950912981481617
"190772",0.0713764937222819
"130878",0.164839461176468
"186567",0.972466958898902
"230221",0.998535946276075
"152485",0.989723079557823
"148314",0.999705038573933
"189043",0.997974925704627
"215751",0.99702902449432
"203315",0.164594033234254
"187516",0.866254878533062
"148775",0.474471513317681
"176814",0.705040808726395
"223368",0.990815748761081
"133998",0.813218433331022
"169100",0.996772733087282
"221369",0.996075380849044
"174635",5.15869206593117e-06
"157394",0.0310935206576698
"182434",0.99731233455422
"193619",0.16521002816656
"115327",0.633052278701944
"133085",0.999723661719507
"124441",0.156427453383289
"169302",0.113319291888247
"223958",0.742696059406009
"170282",0.988225343299679
"176945",0.961013786984645
"206218",0.933659142475541
"132725",0.998464489004922
"166875",0.97828765079662
"153443",4.0110748992029e-13
"121663",0.989064441775302
"210060",0.157430829119909
"214701",0.9922478606544
"178195",3.14917116452013e-06
"117319",0.0642980742712969
"134279",0.164839461176468
"142163",0.97651687107862
"224371",0.981571102023842
"117391",0.165582297035158
"173094",0.980877663557906
"160003",0.998993520997908
"172927",0.0991454920388926
"184564",0.15609588414657
"148167",0.988314762169501
"171912",0.927625312110531
"228395",0.00340286064614462
"119414",0.998522931226349
"158996",0.99970578349788
"219289",0.997846497466953
"166557",2.30094090376975e-06
"149652",0.962733372725619
"207731",0.370776035731225
"139411",0.00192079801469627
"117404",0.00224123047659675
"217336",0.155765743900579
"222833",0.904573762025012
"202103",6.60386755839783e-05
"138956",0.995215119911047
"131318",0.878068360918187
"175494",0.999713541426022
"126215",0.993181128138522
"119132",0.255503785520685
"200450",0.16229217288888
"177358",0.990338879187695
"130649",0.836484716277983
"187301",0.22537097949343
"220761",0.699604494837327
"217876",0.226459325736255
"166478",0.992155298944832
"171479",0.995387395518637
"175240",0.999202735269852
"191042",0.966876125675408
"156556",0.975429143008927
"228101",0.552629996143215
"218890",0.985517108629512
"203842",0.947798237540505
"150237",0.965086391929289
"194177",0.00187733824301335
"166415",0.995339433936812
"149926",0.887960692680849
"118133",0.165582297035158
"153155",0.912528377496465
"200469",0.99920292268756
"192735",0.989748437685653
"218501",0.993239728609996
"203071",0.993210937721284
"165299",0.489010409645997
"137231",0.834545097766459
"124373",0.999737092758664
"139254",0.160872268851953
"186927",0.834959230069945
"118034",0.0188434865478706
"226223",0.983984249329889
"133900",0.799595081570775
"157668",0.971334199940958
"178010",1.12745468597255e-11
"213072",1.54358192391215e-11
"116594",0.159132592511301
"145357",0.868697353666581
"127180",0.994809006355824
"149280",0.0980723028759371
"180324",0.997144999971512
"163305",0.0398508721980447
"117287",0.995419943137262
"217213",0.413008552717076
"206763",0.0283951917322005
"163924",0.660150848739991
"153236",0.999730268554834
"149213",0.994939860801132
"229417",0.924011653341357
"143626",0.997808291652425
"193040",0.994619057870104
"142629",0.0241621099320261
"229507",0.95425609200403
"160905",0.908042981843829
"215703",0.211792820606939
"227909",0.999041681719643
"218327",0.303563715933832
"187150",0.553841516238816
"166355",0.839152213029639
"203222",0.985179174618852
"196441",0.00230284482180376
"144135",0.048829559902313
"119767",0.995852501276654
"167951",0.999155460574641
"170462",0.983735548549676
"125076",0.998520440118293
"138723",0.996258294619974
"150445",0.0452846015601367
"178267",0.997140512309356
"129567",0.999172969704398
"218724",3.429055815622e-05
"194542",2.4407918657326e-07
"172108",0.81941027390147
"172739",0.225705162115611
"115294",0.999715173564307
"148129",0.977999583339278
"152429",0.0013502732554136
"209860",0.913233057149701
"152687",0.96339214639153
"198578",0.997771180202615
"212669",0.816554782542091
"229276",0.97381484433401
"139904",0.99529085474232
"170328",0.997459136014796
"183538",0.997586222677974
"204829",0.0502974919517201
"229178",0.998040198926983
"189351",0.158107065173355
"131165",0.107113525513056
"230389",0.996647747383101
"179135",0.996617858962172
"163126",0.987854173655006
"215736",0.95848802718262
"213659",0.977380133885239
"115331",0.951008033690046
"148033",0.986683142017532
"152700",0.988617485238059
"187730",0.963226019040988
"142455",0.0346705770776259
"156174",0.974173829905626
"169826",0.99971560089146
"186586",0.996916073589313
"220462",0.999718553526131
"137617",0.159132592511301
"142602",0.995417758714144
"134109",0.98808056039137
"182049",0.995022297161499
"150435",0.994059593255289
"207651",0.997843569792157
"214901",0.999120230674326
"198681",0.99412852561187
"169226",0.935259849150705
"215786",0.99621807052276
"222083",0.994896111351601
"204632",5.64955456093222e-06
"134147",0.98763825532925
"140352",0.955618161279326
"169361",0.342435590995901
"143236",0.994155097334898
"185728",0.994433737074807
"172897",0.999166050224693
"220731",0.157768208817345
"161310",0.993296286519283
"141844",6.14859801289004e-07
"174642",0.98393521842509
"185737",0.607103106467775
"182965",0.997236797527263
"127267",0.95173060936263
"178209",0.47181340882151
"130686",0.194562358156457
